NAME,ISSUE TITLE,ISSUE NUMBER,PAGE COUNT,AGE RATING,COVER DATE,ISSUE SUMMARY,CHARACTERS,PUBLISHER,WRITER(S),PENCILLER(S),INKER(S),COLORIST(S),LETTERER(S),EDITOR(S),COVER ARTIST(S),URL,COVER URL
Ab Irato,"""From Anger""",1,32,17+,2/20/2020,"In a dystopian future of mounting sea levels, the rich have access to a rejuvenating vaccine that can allow lifespans of hundreds of years. A young man named Riel arrives in the urban metropolis of Montreal and meets a young woman, Neve, who is allied with rebel insurgents (the ""Bastards of God"") fighting the corporate powers that control the city and the vaccine.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+001+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+001-001.jpg
Ab Irato,"""From Anger""",2,34,17+,2/17/2020,Riel follows Neve into the rebel ranks just as the security forces of the city begin their murderous search for the mysterious Gana.,,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+002+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+002-000.jpg
Ab Irato,"""From Anger""",3,32,17+,2/17/2020,"Gana raids the headquarters of Juvex Corp even as the Bastards of God, under mounting pressure from the police, fall into infighting and take hostages",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+003+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+003-000.jpg
Ab Irato,"""From Anger""",4,32,17+,2/17/2020,"Riel learns to his horror that the police have decided to solve the hostage standoff with extreme prejudice: no traces, no witnesses, no rebels, no hostages . . . and Gana finds that mercenaries hired by Juvex Corp are closing in on her.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+004+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+004-000.jpg
Ab Irato,"""From Anger""",5,32,17+,2/17/2020,"The radical new leader of the Bastards of God threatens to execute a hostage every hour if his demands are not met, N√®ve tries to escape from her captors, and Riel searches desperately for a solution.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+005+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+005-000.jpg
Ab Irato,"""From Anger""",6,32,17+,2/17/2020,"In the finale to Ab Irato, Riel tries to save N√®ve even as Gana‚Äôs final confrontation with the CEO of Juvex comes to its bloody conclusion, and a city pushed to the brink by rage and anger threatens to implode.",,Magnetic Press,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,Thierry Labrosse,,Thierry Labrosse,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Ab+Irato+006+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Ab+Irato+006-000.jpg
Accell,,1,32,12+,6/14/2017,"Daniel DosSantos is a young man living at the speed of life. After gaining powers from exposure to an extraterrestrial object, DosSantos became the rapid action superhero called Accell, the first of a new public kind of self-appointed crime fighter. Unfortunately, there are consequences to moving faster than sound. Accell is about to learn that danger exists on the flipside of having superpowers and will have to grow up quickly to survive.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,"Robert Campanella
Damion Scott
Sigmund Torre",https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+v01+-+Home+Schooling+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+001-000.jpg
Accell,,3,29,12+,8/9/2017,"Accell can run faster than fast, but he’s not faster than the speed demon hot on his tail. With the help of a mysterious elder, the world’s first superhero fights for his life. This is the night that will change Accell’s life forever, and everyone doesn’t make it out alive.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,Damion Scott,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+003+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+003-000.jpg
Accell,,4,31,12+,12/13/2017,"L.A.’s newest super-fast superhero Accell returns home after a life-changing metaphysical experience, just in time to help a friend battle some personal demons. nToo bad Accell has no idea new enemies are gathering to make his life a living hell, especially the crime lord known as Glazz.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+004+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+004-000.jpg
Accell,,5,32,12+,11/8/2017,"Daniel DosSantos is the speedster superhero Accell, but his recent adventures have him shaken to the core, so what’s the solution? Go clubbing with the girlfriend!Too bad the supervillain Midnight Blue likes the clubs, too, and she doesn’t have patience for any superheroes who choose to step in her direction.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+005+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+005-000.jpg
Accell,,6,32,12+,12/20/2017,"After taking a serious beating from the dangerous diva called Midnight Blue, Accell gets a visit from an old friend, and a new ally begins to help him learn the full extent of speed powers.Meanwhile, a power struggle for the crime business in Accell’s town is happening, and his girlfriend’s father is the mastermind of it all.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+006+(2017)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+006-000.jpg
Accell,,7,32,12+,1/10/2018,"After taking a beating from the mercenary Midnight Blue, Accell's life as a super speedster is fractured between science and mysticism. An old friend returns from the spirit realm to guide Accell on the right path, while scientist Althea Morrison works with the hero to figure out just how fast he can go. The world's first public superhero is about to have his perceptions of life torn apart at breakneck speed. ",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+007+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+007-000.jpg
Accell,,8,31,12+,2/14/2018,"After meeting with Althea, a brilliant scientist who recruits Daniel to test the limits of his speedster powers, Daniel finds himself a long way from the warm waters of his home and greeted by the polar ice caps of Antarctica. Meanwhile, back home, George Hayes has begun building his own business network of mercenaries. The more Daniel learns about being Accell, the more the reality around him begins to shift.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+008+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+008-000.jpg
Accell,,9,30,12+,3/14/2018,"Having survived a close call in Antarctica with the deadly FUZZ, Daniel finds himself back in his hometown reunited with his longtime girlfriend Monica.   While Daniel tries to figure out more about his powers and how they're affecting the space of reality around him, Monica finds out something sinister about her father's business dealings. This is the final issue of Volume 2 of Accell!",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+009+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+009-000.jpg
Accell,,10,32,12+,5/9/2018,"Daniel Dos Santos has been through a lot since he got his powers from a meteor rock that he found after ""The Event"": fighting against a barrage of colorful villains, learning the limits of his powers, and trying to hold together his relationship with his girlfriend, Monica Hayes. Life hasn't been easy for Daniel, and right now, he just wants to be normal and maybe make some money. Being a superhero doesn't pay the bills after all.  But what is ""normal"" when you have the power to speed through layers of space and time? Find out in the next arc of Accell!",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+010+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+010-000.jpg
Accell,,11,32,12+,6/13/2018,"In trying to give up being a superhero and live a normal life, Daniel's problems have only seemed to grow instead of shrink. His relationship with Monica has finally reached a breaking point, and there's a brand-new, gun-shooting villain on the streets. Encouraged by Althea, can Daniel jump back into the race, or will he quit before the first shot is fired?",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+011+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+011-000.jpg
Accell,,12,32,12+,7/11/2018,"Daniel's battle with the newest villain on the block isn't letting up, and he narrowly escapes with more injuries than he means to. Luckily his friend, scientist Althea Morrison, is there to help him when the going continues getting rougher for the would-be superhero. Besides getting into trouble with gun-wielding bad guys, Daniel is also seeing more of the mysterious ghost of Jesse Tonawanda. Even worse, an old enemy is back in town and she's working with Glazz. Daniel's life is about to get even more complicated. ",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+012+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+012-000.jpg
Accell,,13,32,12+,8/8/2018,"Daniel's recovery from his run-in with the mysterious Gun Reaver has left him shaken up and a little lost. Althea Morrison, his companion and support, encourages his continued exploration into becoming a full-fledged superhero. But is that what Daniel really wants? Worse still, all his enemies have begun to make their move toward taking him out, even including an old flame back from the ashes. ",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+013+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+013-000.jpg
Accell,,14,31,12+,9/12/2018,"Back on the track of being a superhero, Daniel finds himself struggling against a new cranked up villain charging down his streets. On the outskirts of the chaos, Monica and George Hayes make their own moves toward criminal domination. Althea Morrison investigates the root of disruptions in Daniel's powers and discovers a shocking secret. ",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+014+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+014-000.jpg
Accell,,15,28,12+,11/14/2018,"Daniel Dos Santos is getting used to his life changing almost as fast as he can run, but what's happening now might be a bit much, even for him. After his devoted girlfriend Monica decides she's had too much of getting too little of Daniel's attention, her hell-bent father unleashes a trio of monstrous supervillains on him. Maybe that wouldn't be so bad if Daniel wasn't also grappling with a newly discovered side effect of his powers—the insane revelation that his body has begun to physically merge with the Stream when he uses them. And now that this bizarre metamorphosis has started, he might not be able to stop it.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+015+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+015-000.jpg
Accell,,16,32,12+,12/12/2018,"Daniel Dos Santos has been facing a lot of big problems lately, including losing both his job and his girlfriend. But his problems are growing bigger by the minute—literally—now that the bizarre, sound-based creature known as ""The Fuzz"" has escaped its former hiding place and is mysteriously morphing to gigantic proportions. Can Daniel find a way to take down the sonic behemoth before it takes out the entire city? More importantly, can he do it without compromising his own safety, now that he knows that his physical form is being altered by The Stream? As if that wasn't enough to keep Daniel running for his life, George Hayes has renewed his vows to kill his daughter's ex with his trio of villainous superbrutes. Run, Daniel, run! ",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+016+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+016-000.jpg
Accell,"""Sit Calm""",17,26,12+,1/9/2019,"Daniel may have been able to defeat The Fuzz for the second time, but that doesn't mean things are going anywhere near back to normal. With his biological connection to the Stream taking over his body more every day, Daniel's life—and his perspective on it—is changing fast. Meanwhile, Monica has discovered her father's plans to kill Daniel and will do anything to keep him safe. But if she can't save Daniel from the villainous trio, and Althea can't save him from the Stream, can Daniel save himself? Maybe if Accell can embrace his situation, he can find his own way out the other side.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+017+(2019)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+-+Sit%2C+Calm+017-000.jpg
Accell,,18,32,12+,2/13/2019,"Barrage, Maceface, and Kobe make their first move against Accell. But as Daniel’s condition escalates, will his connection to the Stream help him or the trio of villains? Meanwhile, George Hayes monitors his villains-for-hire, unaware that he is being watched as well.",,Lion Forge Comics,Joe Casey,Damion Scott,Robert Campanella,Sigmund Torre,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Accell+018+(2019)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Accell+018-000.jpg
Age of X-Man,,1,113,12+,8/28/2018,"The X-Tremists keep the peace in the Age of X-Man! A perfect world doesn’t just…happen. It needs to be cultivated. That’s where the X-Tremists come in. Psylocke, Iceman, Northstar, Blob, Jubilee and Moneta protect people from threats they won’t ever even know existed, including the most insidious threat of all: love! But even as Department X continues its work of purging and revising the ill-fitting elements of society, an encounter with a pregnant rebel begins eating away at the team from within! Worse still, can two members of the squad resist falling prey to the very thing they’re fighting to prevent? Some X-Tremists want to know love. Some X-Tremists want to know freedom. But some X-Tremists just want to watch the world burn.",,Marvel,Leah Williams,Georges Jeanty,Georges Jeanty,Georges Jeanty,Georges Jeanty,,Rahzzah,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Age+of+X-Man+-+X-Tremists+001+(2019)+(Digital)+(Zone-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Age+Of+X-Man+-+X-Tremists+01+(of+05)-000.jpg
Algeria Is Beautiful,,,161,15+,4/24/2018,"Olivia had always heard stories about Algeria from her maternal grandmother, a Black Foot (a ""Pied-Noir,"" the French term for Christian and Jewish settlers of French Algeria who emigrated to France after the Algerian War of Independence). After her grandmother's death, Olivia found some of her grandmother's journals and letters describing her homeland. Now, ten years later, she resolves to travel to Algeria and experience the country for herself; she arrives alone, with her grandmother's postcards and letters in tow, and a single phone number in her pocket of an Algerian, Djaffar, who will act as her guide. Olivia's quest to understand her origins will bring her to face questions about heritage, history, shame, friendship, memory, nostalgia, fantasy, the nature of exile, and our unending quest to understand who we are and where we come from.",,Lion Forge Comics,Olivia Burton,Mahi Grand,Mahi Grand,Mahi Grand,Mahi Grand,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Algeria+Is+Beautiful+like+America+(2018)+(digital)+(Lynx-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Algeria+Is+Beautiful+like+America-000.jpg
Astonisher,,1,32,12+,10/4/2017,"Magnus Atitarn, heir to the Atitarn Satellite Corp., tried to save the world with his experimental one-man spaceship and ended up a broken man. Now a celebrity joke suffering from post-traumatic stress disorder, Magnus has the power to travel inside the minds of superpowered people, where he discovers nightmares which threaten the entire human race. nThe strangest corners of the Catalyst Prime Universe are explored in this new series!",,Lion Forge Comics,Alex de Campi,Pop Mhan,Pop Mhan,Jessica Kholinne,Pop Mhan,,Pop Mhan,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Astonisher+v01+-+The+Enemy+Within+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Astonisher+001-000.jpg
Astonisher,,2,32,12+,11/8/2017,"To save his crumbling reputation, entrepreneur Magnus Attarian has jumpstarted his celebrity status and become the Astonisher, the superhero with a meteor-powered battle suit. Unfortunately, traveling inside the minds of superpowered enemies means fighting their nightmares, and Magnus encounters a mysterious psychic presence. One that plans to kill him and destroy everything and everyone he holds dear.",,Lion Forge Comics,Alex de Campi,Pop Mhan,Pop Mhan,Pop Mhan,Pop Mhan,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Astonisher+v02+-+All+the+Nightmares+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Astonisher+002-000.jpg
Astonisher,,12,31,12+,11/14/2018,"Magnus and Drew's sibling rivalry has been a long-standing, damaging tradition between them. Now, as Magnus tests the limits of his new Astonisher technology and the depths of the astral plane, his own personal desires place his brother in even greater peril. Will his sibling's endgame be a tragic footnote in Magnus's life or mark a new beginning for them both?",,Lion Forge Comics,Christopher Priest,Al Barrionuevo,Al Barrionuevo,Al Barrionuevo,Al Barrionuevo,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Astonisher+012+(2018)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Astonisher+012-000.jpg
Astonisher,"""Devolution""",14,29,12+,1/9/2019,"Magnus Attarian is still on a singular mission to save his brother Drew from his fate at the hands of the mysterious alien red parasite, but Magnus continues to face several obstacles that impede his goal. Now facing a new antagonist with similar abilities, Magnus realizes he's not as special as he has always believed. Meanwhile, Branch Seven returns with a startling proposition for Sasha.",,Lion Forge Comics,Ryan O'Sullivan,Al Barrionuevo,Rodney Ramos,Jamie Grant,,,Leonardo Colapietro,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Astonisher+014+(2019)+(digital)+(Son+of+Ultron-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Astonisher+-+Devolution+014-000.jpg
Bitter Root,"""All the Nightmares""",1,24,17+,Nov-18,"In the 1920s, the Harlem Renaissance is in full swing, and only the Sangerye Family can save New York—and the world—from the supernatural forces threatening to destroy humanity. But the once-great family of monster hunters has been torn apart by tragedies and conflicting moral codes. The Sangerye Family must heal the wounds of the past and move beyond their differences… or sit back and watch a force of unimaginable evil ravage the human race.

DAVID F. WALKER and SANFORD GREENE, the creative team of Power Man and Iron Fist, along with indie veteran CHUCK BROWN(Trench Coats, Cigarettes and Shotguns) bring you 24 action-packed pages of monsters, mayhem, and family dysfunction in a brand-new ongoing series.

BITTER ROOT Cover As by SANFORD GREENE will be connecting through the first story arc.","Berg Sangerye
Blink Sangerye
Cullen Sangerye
Etta ""Ma"" Sangerye
Ford Sangeyre",Image Comics,"David Walker
Chuck Brown",Clayton Cowles,Sanford Greene,"Sanford Greene
Rico Renzi",Clayton Cowles,Heather Antos,"Sanford Greene
Mike Mignola
Denys Cowan
Brittany Williams
Jarreau Wimberly",https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Bitter+Root+001+(2018)+(Digital)+(Mephisto-Empire).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Bitter-Root-001-(2018)-(Digital)-(Mephisto-Empire)-001.jpg
Bitter Root,,4,28,17+,Feb-19,"The Sangerye family has fought evil for decades, but they’ve never faced anything like this. And while two family members have returned home, one may be lost forever as Hell comes to Harlem. BITTER ROOT Cover As by SANFORD GREENE will be connecting through the first story arc.","Berg Sangerye
Blink Sangerye
Cullen Sangerye
Etta ""Ma"" Sangerye
Ford Sangeyre",Image Comics,"David Walker
Chuck Brown",Clayton Cowles,Sanford Greene,"Sanford Greene
Rico Renzi",Clayton Cowles,Heather Antos,"Sanford Greene
Jarreau Wimberly
Natacha Bustos
David Mack
Kevin Nowlan
Ben Oliver",https://s3-us-west-1.amazonaws.com/bcaf-comic-streaming-titles/Bitter+Root+004+(2019)+(Digital)+(Mephisto-Empire).cbr,https://s3-us-west-1.amazonaws.com/bcaf-comic-streaming-titles/BCAF-comic-streaming-testImages/Bitter-Root-004-(2019)-(Digital)-(Mephisto-Empire)-001.jpg
Black Hammer,,1,32,15+,7/20/2016,"HEROES NEVER DIE...THEY JUST GET RETCONNED! Once they were heroes, but the age of heroes has long since passed. Banished from existence by a multiversal crisis, the old champions of Spiral City...Abraham Slam, Golden Gail, Colonel Weird, Madame Dragonfly, and Barbalien...now lead simple lives in a timeless farming town. Even as they try to find their way home, trouble has a unique way of finding heroes wherever they are! From the prodigious brain of Jeff Lemire (Animal MAgan, Sweet Tooth)! Amazingly realized by Dean Ormston (Lucifer, 2000 AD) and Dave Stewart (Hellboy)! Extra-long first issue...26 story pages!",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,Dean Ormston,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+001+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+001-001.jpg
Black Hammer,,2,31,15+,8/17/2016,"The Golden Age heroes of Spiral City have been erased from existence! Banished years ago to a timeless farming community, the team are torn between accepting their fate and finding a way home! Chapter two focuses on child hero Golden Gail, whose un-aging body most deeply feels the tragedy of their new lives.",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+002+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+002-001.jpg
Black Hammer,,3,30,15+,9/21/2016,"Long before Spiral Citys greatest heroes were written out of their universe, the Martian champion Barbalien was already stranded far from home. Disguised as churchgoing Mark Markz in the timeless farming community where the heroes find themselves trapped, Barbalien faces a terrifying personal decision, even as he relives his painful past!",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+003+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+003-001.jpg
Black Hammer,,4,27,15+,10/19/2016,"In the forties, Abraham Slam faced such menaces as the psychedelic Florist and the eldritch Cthu-Lou without breaking a sweat. But keeping the heroes of Black Hammer Farm from each others throats when his girlfriend comes to dinner proves far more perilous! Meanwhile, the Black Hammer's daughter uncovers new clues to the exiled heroes disappearance!",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+004+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+004-001.jpg
Black Hammer,,5,28,15+,11/16/2016,"Of the exiled heroes, only Colonel Weird can leave the mysterious farm where they’ve spent the last ten years. But the confusion of the Para-Zone may hamper their escape more than it helps!",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+005+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+005-001.jpg
Black Hammer,,6,28,15+,12/21/2016,"Madame Dragonfly has been harboring dark secrets for hundreds of years, keeping them locked up in the mysterious Cabin of Horrors. Now that her cabin is trapped on Black Hammer Farm, the only secrets she can collect are the broken hearts of small-town folk. But the arrival of a new visitor to the farm will change everything.",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+006+(2016).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+006-001.jpg
Black Hammer,,7,27,15+,3/22/2017,"Joe Weber: the Black Hammer. A hero from the Spiral Slums. A husband. A father. Gone without a trace.

A visitor from the outside world arrives on the farm, looking for the Black Hammer and bringing news of Spiral City to its Golden Age heroes. Her arrival stirs up old memories and awakens new hope in the marooned heroes.",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+007+(2017).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+007-001.jpg
Black Hammer,,8,27,15+,4/19/2017,"There’s something unusual about the sleepy farming community of Rockwood: it’s now the home of Spiral City’s mysteriously vanished superheroes. But not by choice: they were banished to the town after a battle with the Anti-God, and now they’re stuck within its boundaries. Lately, a new arrival in town has started asking questions, and she’s discovering that its superpowered residents aren’t the only strange thing about Rockwood . . .",,Dark Horse Comics,Jeff Lemire,Dean Ormston,Dean Ormston,Dave Stewart,,,,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/Black+Hammer+008+(2017).cbr,https://bcaf-comic-streaming-titles.s3-us-west-1.amazonaws.com/BCAF-comic-streaming-testImages/Black+Hammer+008-001.jpg
